STATE/UT,DISTRICT,TEHSIL/BLOCK NAME,VILLAGE NAME,SITE NAME,LATITUDE,LONGITUDE,WELL SITE TYPE,WaterLevel,Anomaly
Goa,North Goa,Bardez,Alto Betim,Porvorim,15.524952,73.828539,Dug Well,11.9,True
Goa,North Goa,Bardez,Anjuna Beach,Anjuna Beach,15.584236,73.738227,Dug Well,11.77,True
Goa,North Goa,Bardez,Britona,Britona,15.512632,73.842861,Dug Well,2.5,False
Goa,North Goa,Bardez,Calangute,Calangute,15.546138,73.758685,Dug Well,7.7,False
Goa,North Goa,Bardez,Colval,Colval,15.643894,73.837117,Dug Well,13.05,True
Goa,North Goa,Bardez,Mapuca,Mapuca,15.610277,73.824467,Dug Well,3.6,False
Goa,North Goa,Bardez,Parra,Parra,15.572928,73.792718,Dug Well,2.44,False
Goa,North Goa,Bardez,Pirna,Pirna,15.668757,73.881897,Dug Well,3.6,False
Goa,North Goa,Bardez,Pomburpa Palmar,Pomburpa Palmar,15.559253,73.867591,Dug Well,3.82,False
Goa,North Goa,Bardez,Salwardhar Dumun,Salwardhar Dumun,15.53767,73.868709,Dug Well,3.78,False
Goa,North Goa,Bardez,Shivoli (Brahmanwada),Shivoli (Brahmanwada),15.623557,73.767247,Dug Well,2.23,True
Goa,North Goa,Bardez,Sirsaim,Sirsaim,15.626789,73.875861,Dug Well,3.48,False
Goa,North Goa,Bicholim,Adavapal,Adavapal,15.639972,73.895926,Dug Well,5.6,False
Goa,North Goa,Bicholim,Devulawada Narve,Devulawada Narve,15.552048,73.924128,Dug Well,15.61,True
Goa,North Goa,Bicholim,Dhatwado Vante,Dhatwado Vante,15.496036,74.097329,Dug Well,6.53,False
Goa,North Goa,Bicholim,Jambhul Batt(Mayam Lake),Jambhul Batt(Mayam Lake),15.580413,73.926039,Dug Well,2.5,False
Goa,North Goa,Bicholim,Mulgaon Shivalkherwad,Mulgaon Shivalkherwad,15.617182,73.920692,Dug Well,3.6,False
Goa,North Goa,Bicholim,Olaulim,Olaulim,15.569607,73.863442,Dug Well,7.1,False
Goa,North Goa,Bicholim,Sal,Sal,15.687915,73.92692,Dug Well,3.78,False
Goa,North Goa,Pernem,Amberem,Amberem,15.561635,74.163265,Dug Well,7.96,False
Goa,North Goa,Pernem,Hasaravanni Vaipal,Hasaravanni Vaipal,15.732513,73.899588,Dug Well,2.5,False
Goa,North Goa,Pernem,Haspur,Haspur,15.739249,73.903267,Dug Well,5.22,False
Goa,North Goa,Pernem,Korgaon,Korgaon,15.709224,73.751911,Dug Well,5.32,False
Goa,North Goa,Pernem,Morji,Morji,15.636325,73.739646,Dug Well,1.94,True
Goa,North Goa,Pernem,Nagjhar,Nagjhar,15.708477,73.853067,Dug Well,8.4,False
Goa,North Goa,Pernem,Pernem,Pernem,15.71752,73.798217,Dug Well,3.18,False
Goa,North Goa,Pernem,Sawanthwada(Mandre m),Sawanthwada(Mandre m),15.680817,73.751077,Dug Well,4.28,False
Goa,North Goa,Pernem,Uguem(Ugawe),Uguem(Ugawe),15.754164,73.835113,Dug Well,4.1,False
Goa,North Goa,Ponda,Bori,Bori,15.354327,74.001957,Dug Well,6.54,False
Goa,North Goa,Ponda,Kundel Dassolwada,Kundel Dassolwada,15.452721,73.952419,Dug Well,2.21,True
Goa,North Goa,Ponda,Mankem,Mankem,15.305193,74.048373,Dug Well,4.84,False
Goa,North Goa,Ponda,Panchawadi,Panchawadi(pz),15.283625,74.095674,Dug Well,7.4,False
Goa,North Goa,Ponda,Shiroda,Shiroda,15.320626,74.034039,Dug Well,8.09,False
Goa,North Goa,Sattari,Bayalwadikeri(Querim),Bayalwadikeri(Querim),15.611276,74.067004,Dug Well,2.5,False
Goa,North Goa,Sattari,Bhamber(Nanoda Cross),Bhamber(Nanoda Cross),15.587998,74.191332,Dug Well,5.8,False
Goa,North Goa,Sattari,Bhujpal,Bhujpal,15.539244,74.088188,Dug Well,3.6,False
Goa,North Goa,Sattari,Charayode,Charayode,15.627812,74.130891,Dug Well,4.93,False
Goa,North Goa,Sattari,Honda,Honda,15.547147,74.050908,Dug Well,3.85,False
Goa,North Goa,Sattari,Khadki(Harijanwada),Khadki(Harijanwada),15.502775,74.139667,Dug Well,8.55,False
Goa,North Goa,Sattari,Khotodem,Khotodem,15.482768,74.136952,Dug Well,7.1,False
Goa,North Goa,Sattari,Morlem,Morlem,15.593972,74.046324,Dug Well,14.65,False
Goa,North Goa,Sattari,Nagargoan,Nagargoan,15.561576,74.163197,Dug Well,6.78,False
Goa,North Goa,Sattari,Valpoi,Valpoi,15.533017,74.137217,Dug Well,6.05,False
Goa,North Goa,Tiswadi,Karanjhalen,Karanjhalen,15.458997,73.802807,Dug Well,3.27,False
Goa,North Goa,Tiswadi,Velha Goa,Velha Goa,15.533006,74.137227,Dug Well,1.6,True
Goa,South Goa,Canacona,Agonda Desaiwada,Agonda Desaiwada,15.041265,73.991069,Dug Well,4.8,False
Goa,South Goa,Canacona,Canacona,Canacona,15.007184,74.052149,Dug Well,4.15,False
Goa,South Goa,Canacona,Daptamol Lolien,Daptamol Lolien,14.949857,74.05528,Dug Well,15.74,True
Goa,South Goa,Canacona,Gulem Velipwada,Gulem Velipwada,15.039013,74.029346,Dug Well,3.72,False
Goa,South Goa,Canacona,Hattipal Poinguinem,Hattipal Poinguinem,14.984522,74.108506,Dug Well,16.31,True
Goa,South Goa,Canacona,Polem(Polen),Polem(Polen),14.912892,74.084546,Dug Well,2.47,False
Goa,South Goa,Canacona,Shrishtal Gaondongar,Shrishtal Gaondongar,15.037246,74.118511,Dug Well,2.44,False
Goa,South Goa,Canacona,Varca,Varca,15.160758,73.957078,Dug Well,9.2,False
Goa,South Goa,Margao,Assolna,Assolna,15.276665,74.039945,Dug Well,4.5,False
Goa,South Goa,Margao,Betalbatim,Bethalbatim,15.263763,74.074065,Dug Well,3.86,False
Goa,South Goa,Margao,Davorlim,Davorlim,15.285302,74.067367,Dug Well,2.5,False
Goa,South Goa,Margao,Gomtimol,Gomtimol,15.276634,74.038489,Dug Well,2.5,False
Goa,South Goa,Margao,Raia,Raia,15.289029,74.089174,Dug Well,6.67,False
Goa,South Goa,Margao,Verna,Verna,15.287582,74.063443,Dug Well,3.6,False
Goa,South Goa,Sanguem,Chandrapur,Chandrapur,15.137012,74.201083,Dug Well,10.5,False
Goa,South Goa,Sanguem,Colamb,Colamb,15.107292,74.22366,Dug Well,4.4,False
Goa,South Goa,Sanguem,Curtorim,Curtorim,15.209007,74.205674,Dug Well,6.72,False
Goa,South Goa,Sanguem,Raikhind,Raikhind,15.189049,74.122455,Dug Well,4.79,False
Goa,South Goa,Sanguem,Shigao,Shigao,15.045018,74.190245,Dug Well,9.55,False
Goa,South Goa,Sanguem,Shigao,Sangul,15.142112,74.213839,Dug Well,2.34,False
Goa,South Goa,Sanguem,Verem(Shigao),Verem(Shigao),15.104334,74.232898,Dug Well,9.32,False
Goa,South Goa,Quepem,Cuncolim,Cuncolim,15.207622,74.105578,Dug Well,7.5,False
Goa,South Goa,Quepem,Quepem,Quepem,15.25536,74.084526,Dug Well,5.18,False
Goa,South Goa,Quepem,Quepem Qryalecar,Quepem Qryalecar,15.225104,74.042524,Dug Well,2.62,False
Goa,South Goa,Quepem,Sanvordem,Sanvordem,15.257881,74.11607,Dug Well,3.79,False
Goa,South Goa,Quepem,Verna,Verna,15.272978,74.121091,Dug Well,6.11,False
